log,metric
F1_adam_gauss_d2_lam0.log,1.194252848625183
F1_adam_gauss_d3_lam0.log,1.3550595045089722
F1_adam_gauss_d4_lam0.log,1.3642351627349854
F1_adam_gauss_d5_lam0.log,1.3834588527679443
F1_gd_gauss_d2_lam0.log,1.1251155138015747
F1_gd_gauss_d3_lam0.log,1.1262638568878174
F1_gd_gauss_d4_lam0.log,1.12855064868927
F1_gd_gauss_d5_lam0.log,1.1191182136535645
F2_adam_gauss_d2_lam1e-3.log,1.3676074743270874
F2_adam_gauss_d3_lam1e-3.log,1.3678350448608398
F2_adam_gauss_d4_lam1e-3.log,1.3759191036224365
F2_adam_gauss_d5_lam1e-3.log,1.373583197593689
F2_gd_gauss_d2_lam1e-3.log,1.1214728355407715
F2_gd_gauss_d3_lam1e-3.log,1.1254138946533203
F2_gd_gauss_d4_lam1e-3.log,1.1262749433517456
F2_gd_gauss_d5_lam1e-3.log,1.12103271484375
F3_adam_gauss_d1_lam0.0.log,1.124276041984558
F3_adam_gauss_d1_lam1e-3.log,1.3747038841247559
F3_gd_gauss_d1_lam0.0.log,1.1294320821762085
F3_gd_gauss_d1_lam1e-3.log,1.1267985105514526
F4_CP_s1000.log,
F4_CP_s1500.log,
F4_CP_s2000.log,
F4_CP_s3000.log,
F4_CP_s4000.log,
F4_SI_s1000.log,
F4_SI_s1500.log,
F4_SI_s2000.log,
F4_SI_s3000.log,
F4_SI_s4000.log,
F4_adam_ratio_d1_s1000.log,10.921550750732422
F4_adam_ratio_d1_s1500.log,9.939496040344238
F4_adam_ratio_d1_s2000.log,12.4243803024292
F4_adam_ratio_d1_s3000.log,1.3952187299728394
F4_adam_ratio_d1_s4000.log,13.756976127624512
F4_gd_d3_lam0_s1000.log,1.5499682426452637
F4_gd_d3_lam0_s1500.log,1.3731919527053833
F4_gd_d3_lam0_s2000.log,1.3886065483093262
F4_gd_d3_lam0_s3000.log,1.3886768817901611
F4_gd_d3_lam0_s4000.log,1.3685269355773926
ML100K_OPT.log,
ML100K_d1_lam0.log,3.718614101409912
ML100K_d1_lam1e-3.log,1.1665301322937012
